# 컴퓨터
computer	4. 컴퓨터	top	cominfo|comqna|com119|comlec|prg|skt
cominfo	1. 컴소식	computer	/bbs/board.php?bo_table=cominfo
comqna	2. 물어보세요	computer	/bbs/board.php?bo_table=comqna
com119	3. 컴퓨터 119	computer	com119info|com119free|com119lec|com119pds
com119info	1. 공지사항	computer	/bbs/board.php?bo_table=com119info&cl=com119
com119free	2. 자유게시판	computer	/bbs/board.php?bo_table=com119free&cl=com119
com119lec	3. 컴퓨터 강의실	computer	/bbs/board.php?bo_table=com119lec
com119pds	4. 자료실	computer	/bbs/board.php?bo_table=com119pds
comlec	4. 강좌 / 메뉴얼	computer	mcom|comlecetcb
mcom	1. 음성 / 동영상 강좌	comlec	/bbs/board.php?bo_table=mcom
comlecetcb	2. 문서 강좌 / 메뉴얼	comlec	/bbs/board.php?bo_table=comlecetcb
prg	5. 개발자와 함께	computer	hims|xvsrd|veye|hlt|hv|moitech|mobi|dot|silwel
hims	1. 셀바스헬스케어(구 힘스인터내셔널)	prg	himsinfo|himsintro|himsproduc|himsfree|himsqna|himsqna2|himsfaq|himsstudy1|himspds1
himsinfo	1. 공지사항	hims	/bbs/board.php?bo_table=himsinfo&cl=hims
himsintro	2. 회사소개	hims	/bbs/board.php?bo_table=himsintro&cl=hims
himsproduc	3. 제품소개	hims	/bbs/board.php?bo_table=himsproduc&cl=hims
himsfree	4. 게시판	hims	/bbs/board.php?bo_table=himsfree&cl=hims
himsqna	5. 한소네 묻고 답하기	hims	/bbs/board.php?bo_table=himsqna&cl=hims
himsqna2	6. 책마루 묻고 답하기	hims	/bbs/board.php?bo_table=himsqna2&cl=hims
himsfaq	7. 자주 묻는 질문과 답변	hims	himsfaq1|himsfaq2|himsfaq3
himsfaq1	1. 한소네 제품	himsfaq	/bbs/board.php?bo_table=himsfaq1&cl=hims
himsfaq2	2. 책마루 제품	himsfaq	/bbs/board.php?bo_table=himsfaq2&cl=hims
himsfaq3	3. 확대기 제품	himsfaq	/bbs/board.php?bo_table=himsfaq3&cl=hims
himsstudy1	8. 강의실	hims	himslect1|himslect2|himslect3|himslect4|himslect5|himslect6|himslect7|himslect8|himslect9
himslect1	1. 한소네 1 강좌	himsstudy1	/bbs/board.php?bo_table=himslect1&cl=hims
himslect2	2. 한소네 2 강좌	himsstudy1	/bbs/board.php?bo_table=himslect2&cl=hims
himslect3	3. 한소네 LX 강좌	himsstudy1	/bbs/board.php?bo_table=himslect3&cl=hims
himslect4	4. 한소네 QX 강좌	himsstudy1	/bbs/board.php?bo_table=himslect4&cl=hims
himslect5	5. 한소네 보이스 강좌	himsstudy1	/bbs/board.php?bo_table=himslect5&cl=hims
himslect6	6. 책마루 강좌	himsstudy1	/bbs/board.php?bo_table=himslect6&cl=hims
himslect7	7. 책마루 2 OCR EZ	himsstudy1	/bbs/board.php?bo_table=himslect7&cl=hims
himslect8	8. 책마루 2 OCR ET	himsstudy1	/bbs/board.php?bo_table=himslect8&cl=hims
himslect9	9. 기타자료실	himsstudy1	/bbs/board.php?bo_table=himslect9&cl=hims
himspds1	9. 자료실	hims	h100|h200|h332b|h332q|h318b|v400|v400q|h432b|h432q|h418b|booksense|blaze|himsbrldisp|nova|himsetc|himsuser|himspost
h100	1. 한소네 1	himspds1	/bbs/board.php?bo_table=h100&cl=hims
h200	2. 한소네 2	himspds1	/bbs/board.php?bo_table=h200&cl=hims
h332b	3. 한소네 LX	himspds1	/bbs/board.php?bo_table=h332b&cl=hims
h332q	4. 한소네 QX	himspds1	/bbs/board.php?bo_table=h332q&cl=hims
h318b	5. 한소네 포켓	himspds1	/bbs/board.php?bo_table=h318b&cl=hims
v400	6. 한소네 보이스	himspds1	/bbs/board.php?bo_table=v400&cl=hims
v400q	7. 한소네 보이스 QWERTY	himspds1	/bbs/board.php?bo_table=v400q&cl=hims
h432b	8. 한소네 U2	himspds1	/bbs/board.php?bo_table=h432b&cl=hims
h432q	9. 한소네 U2 QWERTY	himspds1	/bbs/board.php?bo_table=h432q&cl=hims
h418b	10. 한소네 U2 미니	himspds1	/bbs/board.php?bo_table=h418b&cl=hims
booksense	11. 책마루 XT	himspds1	/bbs/board.php?bo_table=booksense&cl=hims
blaze	12. 책마루 2 OCR	himspds1	/bbs/board.php?bo_table=blaze&cl=hims
himsbrldisp	13. 점자디스플레이	himspds1	/bbs/board.php?bo_table=himsbrldisp&cl=hims
nova	14. 노바캠 리더	himspds1	/bbs/board.php?bo_table=nova&cl=hims
himsetc	15. 기타자료	himspds1	/bbs/board.php?bo_table=himsetc&cl=hims
himsuser	16. 사용자 자료실	himspds1	/bbs/board.php?bo_table=himsuser&cl=hims
himspost	17. 제품 사용 수기	himspds1	/bbs/board.php?bo_table=himspost&cl=hims
xvsrd	2. Sense Reader 엑스비전	prg	xvinfo|xvfree|xvgame|xvqna|xvqna1|xvmsrd|xvfaq|xvtutor|xvpds|xvhope
xvinfo	1. 공지사항	xvsrd	/bbs/board.php?bo_table=xvinfo
xvfree	2. 자유게시판	xvsrd	/bbs/board.php?bo_table=xvfree
xvgame	3. 게임게시판	xvsrd	/bbs/board.php?bo_table=xvgame
xvqna	4. Sense Reader 묻고답하기	xvsrd	/bbs/board.php?bo_table=xvqna
xvqna1	5. 브레일노트 묻고답하기	xvsrd	/bbs/board.php?bo_table=xvqna1
xvmsrd	6. 센스월드 질문과 답변	xvsrd	/bbs/board.php?bo_table=xvmsrd
xvfaq	7. 자주 묻는 질문과 답변	xvsrd	/bbs/board.php?bo_table=xvfaq
xvtutor	8. 강의실	xvsrd	xvtutor1|xvtutor2|xvtutor3|xvtutor4|xvtutor8|xvtutor5|xvtutor6|xvtutor11|xvtutor9|xvtutor10|7|xvtutorall
xvtutor1	1. 운영체제	xvtutor	/bbs/board.php?bo_table=xvtutor1
xvtutor2	2. 응용프로그램	xvtutor	/bbs/board.php?bo_table=xvtutor2
